id,situacao,cargo,funcao
1397424,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2034604,Aposentado,MEDICO-AREA,Sem função
1244182,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2271452,Ativo,TECNICO DE LABORATORIO AREA,Sem função
3863729,Ativo,TEC DE TECNOLOGIA DA INFORMACAO,Sem função
2795998,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
151323,Aposentado,TECNICO EM RADIOLOGIA,Sem função
151323,Pensionista,TECNICO EM ENFERMAGEM,Sem função
748303,Pensionista,VIGILANTE,Sem função
945342,Pensionista,VIGILANTE,Sem função
1254976,Ativo,SERVENTE DE LIMPEZA,Sem função
1807371,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1393290,Aposentado,PROFESSOR ENS BASICO TECN TECNOLOGICO,Sem função
1393290,Pensionista,JORNALISTA,Sem função
921593,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1035316,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
835129,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
2365924,Aposentado,SERVENTE DE LIMPEZA,Sem função
198412,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
2526626,Aposentado,ADMINISTRADOR,Sem função
1167843,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1167843,Ativo,Sem informaç,FG 000.1
1407809,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
776535,Aposentado,TEC DE TECNOLOGIA DA INFORMACAO,Sem função
838529,Aposentado,TECNICO EM ASSUNTOS EDUCACIONAIS,Sem função
3278658,Ativo,TECNICO DE LABORATORIO AREA,Sem função
3684916,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3482885,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
3581948,Pensionista,IMPRESSOR,Sem função
373089,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2195848,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
911476,Pensionista,TEC EM ELETROELETRONICA,Sem função
2938876,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
3294289,Ativo,TECNICO DE LABORATORIO AREA,Sem função
743099,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2898235,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
1844253,Pensionista,RECEPCIONISTA,Sem função
1102992,Pensionista,ATENDENTE DE ENFERMAGEM,Sem função
2150545,Pensionista,DIAGRAMADOR,Sem função
3596545,Aposentado,IMPRESSOR,Sem função
288438,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
846123,Pensionista,AUX EM ADMINISTRACAO,Sem função
2199482,Pensionista,TECNICO DE LABORATORIO AREA,Sem função
650366,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
559783,Ativo,COPEIRO,Sem função
1996658,Aposentado,ASSISTENTE DE ALUNO,Sem função
97207,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1630251,Aposentado,BIBLIOTECARIO-DOCUMENTALISTA,Sem função
3514523,Ativo,TECNICO EM CONTABILIDADE,Sem função
